// コマンド,x,y,z
WAIT,0,,
POP,6,8,100
WAIT,0,,
POP,-12,-8,115
WAIT,0,,
POP,-6,8,105
WAIT,0,,
POP,6,8,100
WAIT,0,,
POP,12,-8,110
WAIT,480,,
POP,-12,-8,115
WAIT,480,,
POP,8,0,130
WAIT,480,,
POP,-6,8,100
WAIT,480,,
POP,-6,8,105
WAIT,480,,
POP,12,-8,110
WAIT,480,,
POP,-12,-8,-115
WAIT,480,,
POP,0,8,130
WAIT,480,,
POP,-6,8,100
WAIT,480,,
POP,-6,8,105
WAIT,240,,
POP,12,-8,110
WAIT,240,,
POP,-12,-8,115
WAIT,240,,
POP,0,0,130
WAIT,240,,
POP,6,8,100
WAIT,240,,
POP,-12,-8,115
WAIT,240,,
POP,-6,8,105
WAIT,240,,
POP,6,8,100
WAIT,240,,
POP,12,-8,110
WAIT,240,,
POP,-12,-8,115
WAIT,240,,
POP,8,0,130
WAIT,480,,
POP,-6,8,100
WAIT,480,,
POP,-6,8,105
WAIT,480,,
POP,12,-8,110
WAIT,480,,
POP,-12,-8,-115
WAIT,240,,
POP,0,8,130
WAIT,240,,
POP,-6,8,100
WAIT,480,,
POP,-6,8,105
WAIT,480,,
POP,12,-8,110
WAIT,480,,
POP,-12,-8,115
WAIT,240,,
POP,50,50,50
